nmtkp,tgldtgsjp,tglsep,jumlahsep,harilibur,autoarima_jumlahsep,simplefeedforward_jumlahsep,deepar_jumlahsep,transformer_jumlahsep,mqcnn_jumlahsep,row_origin,training_session
RITL,2022-01-01,2022-01-01T00:00:00.000000Z,23441,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-02,2022-01-02T00:00:00.000000Z,25923,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-03,2022-01-03T00:00:00.000000Z,41267,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-04,2022-01-04T00:00:00.000000Z,40035,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-05,2022-01-05T00:00:00.000000Z,39860,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-06,2022-01-06T00:00:00.000000Z,37842,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-07,2022-01-07T00:00:00.000000Z,34717,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-08,2022-01-08T00:00:00.000000Z,28782,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-09,2022-01-09T00:00:00.000000Z,26077,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-10,2022-01-10T00:00:00.000000Z,42009,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-11,2022-01-11T00:00:00.000000Z,39659,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-12,2022-01-12T00:00:00.000000Z,38870,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-13,2022-01-13T00:00:00.000000Z,37141,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-14,2022-01-14T00:00:00.000000Z,34276,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-15,2022-01-15T00:00:00.000000Z,28621,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-16,2022-01-16T00:00:00.000000Z,26628,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-17,2022-01-17T00:00:00.000000Z,42022,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-18,2022-01-18T00:00:00.000000Z,38375,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-19,2022-01-19T00:00:00.000000Z,38008,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-20,2022-01-20T00:00:00.000000Z,36527,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-21,2022-01-21T00:00:00.000000Z,34378,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-22,2022-01-22T00:00:00.000000Z,28699,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-23,2022-01-23T00:00:00.000000Z,26854,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-24,2022-01-24T00:00:00.000000Z,41715,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-25,2022-01-25T00:00:00.000000Z,39354,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-26,2022-01-26T00:00:00.000000Z,38686,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-27,2022-01-27T00:00:00.000000Z,36700,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-28,2022-01-28T00:00:00.000000Z,33538,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-29,2022-01-29T00:00:00.000000Z,27405,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-30,2022-01-30T00:00:00.000000Z,24964,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-31,2022-01-31T00:00:00.000000Z,34978,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-01,2022-02-01T00:00:00.000000Z,28180,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-02,2022-02-02T00:00:00.000000Z,41680,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-03,2022-02-03T00:00:00.000000Z,35957,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-04,2022-02-04T00:00:00.000000Z,32334,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-05,2022-02-05T00:00:00.000000Z,26191,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-06,2022-02-06T00:00:00.000000Z,23855,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-07,2022-02-07T00:00:00.000000Z,37380,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-08,2022-02-08T00:00:00.000000Z,34760,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-09,2022-02-09T00:00:00.000000Z,32913,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-10,2022-02-10T00:00:00.000000Z,31913,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-11,2022-02-11T00:00:00.000000Z,28935,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-12,2022-02-12T00:00:00.000000Z,23571,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-13,2022-02-13T00:00:00.000000Z,21274,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-14,2022-02-14T00:00:00.000000Z,32889,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-15,2022-02-15T00:00:00.000000Z,30703,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-16,2022-02-16T00:00:00.000000Z,29763,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-17,2022-02-17T00:00:00.000000Z,28197,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-18,2022-02-18T00:00:00.000000Z,25680,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-19,2022-02-19T00:00:00.000000Z,20904,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-20,2022-02-20T00:00:00.000000Z,19229,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-21,2022-02-21T00:00:00.000000Z,30447,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-22,2022-02-22T00:00:00.000000Z,29702,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-23,2022-02-23T00:00:00.000000Z,27554,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-24,2022-02-24T00:00:00.000000Z,26096,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-25,2022-02-25T00:00:00.000000Z,24456,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-26,2022-02-26T00:00:00.000000Z,19666,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-27,2022-02-27T00:00:00.000000Z,16105,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-28,2022-02-28T00:00:00.000000Z,19787,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-01,2022-03-01T00:00:00.000000Z,30190,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-02,2022-03-02T00:00:00.000000Z,27673,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-03,2022-03-03T00:00:00.000000Z,21187,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-04,2022-03-04T00:00:00.000000Z,28068,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-05,2022-03-05T00:00:00.000000Z,21940,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-06,2022-03-06T00:00:00.000000Z,20058,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-07,2022-03-07T00:00:00.000000Z,32332,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-08,2022-03-08T00:00:00.000000Z,31722,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-09,2022-03-09T00:00:00.000000Z,31887,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-10,2022-03-10T00:00:00.000000Z,30125,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-11,2022-03-11T00:00:00.000000Z,28377,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-12,2022-03-12T00:00:00.000000Z,23056,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-13,2022-03-13T00:00:00.000000Z,20941,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-14,2022-03-14T00:00:00.000000Z,34670,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-15,2022-03-15T00:00:00.000000Z,32791,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-16,2022-03-16T00:00:00.000000Z,32702,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-17,2022-03-17T00:00:00.000000Z,30847,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-18,2022-03-18T00:00:00.000000Z,28608,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-19,2022-03-19T00:00:00.000000Z,23387,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-20,2022-03-20T00:00:00.000000Z,21557,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-21,2022-03-21T00:00:00.000000Z,35784,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-22,2022-03-22T00:00:00.000000Z,34721,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-23,2022-03-23T00:00:00.000000Z,33636,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-24,2022-03-24T00:00:00.000000Z,32441,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-25,2022-03-25T00:00:00.000000Z,29953,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-26,2022-03-26T00:00:00.000000Z,24045,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-27,2022-03-27T00:00:00.000000Z,22634,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-28,2022-03-28T00:00:00.000000Z,37196,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-29,2022-03-29T00:00:00.000000Z,35394,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-30,2022-03-30T00:00:00.000000Z,34013,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-31,2022-03-31T00:00:00.000000Z,31620,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-01,2022-04-01T00:00:00.000000Z,29574,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-02,2022-04-02T00:00:00.000000Z,24225,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-03,2022-04-03T00:00:00.000000Z,22478,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-04,2022-04-04T00:00:00.000000Z,37421,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-05,2022-04-05T00:00:00.000000Z,34946,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-06,2022-04-06T00:00:00.000000Z,35028,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-07,2022-04-07T00:00:00.000000Z,33543,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-08,2022-04-08T00:00:00.000000Z,31079,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-09,2022-04-09T00:00:00.000000Z,25889,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-10,2022-04-10T00:00:00.000000Z,23702,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-11,2022-04-11T00:00:00.000000Z,36798,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-12,2022-04-12T00:00:00.000000Z,35224,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-13,2022-04-13T00:00:00.000000Z,34210,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-14,2022-04-14T00:00:00.000000Z,31208,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-15,2022-04-15T00:00:00.000000Z,22998,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-16,2022-04-16T00:00:00.000000Z,26011,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-17,2022-04-17T00:00:00.000000Z,23649,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-18,2022-04-18T00:00:00.000000Z,37221,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-19,2022-04-19T00:00:00.000000Z,34456,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-20,2022-04-20T00:00:00.000000Z,34631,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-21,2022-04-21T00:00:00.000000Z,33576,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-22,2022-04-22T00:00:00.000000Z,31002,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-23,2022-04-23T00:00:00.000000Z,25417,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-24,2022-04-24T00:00:00.000000Z,23523,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-25,2022-04-25T00:00:00.000000Z,35754,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-26,2022-04-26T00:00:00.000000Z,34142,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-27,2022-04-27T00:00:00.000000Z,31932,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-28,2022-04-28T00:00:00.000000Z,29006,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-29,2022-04-29T00:00:00.000000Z,23912,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-04-30,2022-04-30T00:00:00.000000Z,19397,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-01,2022-05-01T00:00:00.000000Z,15447,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-02,2022-05-02T00:00:00.000000Z,19123,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-03,2022-05-03T00:00:00.000000Z,23987,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-04,2022-05-04T00:00:00.000000Z,28214,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-05,2022-05-05T00:00:00.000000Z,29818,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-06,2022-05-06T00:00:00.000000Z,29463,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-07,2022-05-07T00:00:00.000000Z,27149,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-08,2022-05-08T00:00:00.000000Z,26241,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-09,2022-05-09T00:00:00.000000Z,43203,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-10,2022-05-10T00:00:00.000000Z,43481,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-11,2022-05-11T00:00:00.000000Z,42814,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-12,2022-05-12T00:00:00.000000Z,41154,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-13,2022-05-13T00:00:00.000000Z,37514,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-14,2022-05-14T00:00:00.000000Z,29940,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-15,2022-05-15T00:00:00.000000Z,24665,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-16,2022-05-16T00:00:00.000000Z,30026,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-17,2022-05-17T00:00:00.000000Z,44684,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-18,2022-05-18T00:00:00.000000Z,42983,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-19,2022-05-19T00:00:00.000000Z,39993,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-20,2022-05-20T00:00:00.000000Z,37258,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-21,2022-05-21T00:00:00.000000Z,30097,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-22,2022-05-22T00:00:00.000000Z,28478,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-23,2022-05-23T00:00:00.000000Z,43851,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-24,2022-05-24T00:00:00.000000Z,41972,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-25,2022-05-25T00:00:00.000000Z,36481,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-26,2022-05-26T00:00:00.000000Z,27979,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-27,2022-05-27T00:00:00.000000Z,37228,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-28,2022-05-28T00:00:00.000000Z,29979,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-29,2022-05-29T00:00:00.000000Z,28103,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-30,2022-05-30T00:00:00.000000Z,44114,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-05-31,2022-05-31T00:00:00.000000Z,38284,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-01,2022-06-01T00:00:00.000000Z,31221,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-02,2022-06-02T00:00:00.000000Z,41615,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-03,2022-06-03T00:00:00.000000Z,37905,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-04,2022-06-04T00:00:00.000000Z,30974,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-05,2022-06-05T00:00:00.000000Z,28739,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-06,2022-06-06T00:00:00.000000Z,44594,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-07,2022-06-07T00:00:00.000000Z,42185,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-08,2022-06-08T00:00:00.000000Z,40744,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-09,2022-06-09T00:00:00.000000Z,39138,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-10,2022-06-10T00:00:00.000000Z,37552,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-11,2022-06-11T00:00:00.000000Z,30601,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-12,2022-06-12T00:00:00.000000Z,28422,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-13,2022-06-13T00:00:00.000000Z,44153,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-14,2022-06-14T00:00:00.000000Z,41478,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-15,2022-06-15T00:00:00.000000Z,41262,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-16,2022-06-16T00:00:00.000000Z,38928,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-17,2022-06-17T00:00:00.000000Z,36276,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-18,2022-06-18T00:00:00.000000Z,29625,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-19,2022-06-19T00:00:00.000000Z,29095,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-20,2022-06-20T00:00:00.000000Z,44868,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-21,2022-06-21T00:00:00.000000Z,43017,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-22,2022-06-22T00:00:00.000000Z,42911,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-23,2022-06-23T00:00:00.000000Z,39345,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-24,2022-06-24T00:00:00.000000Z,36276,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-25,2022-06-25T00:00:00.000000Z,30737,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-26,2022-06-26T00:00:00.000000Z,29042,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-27,2022-06-27T00:00:00.000000Z,45016,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-28,2022-06-28T00:00:00.000000Z,42883,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-29,2022-06-29T00:00:00.000000Z,41551,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-06-30,2022-06-30T00:00:00.000000Z,40042,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-01,2022-07-01T00:00:00.000000Z,37190,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-02,2022-07-02T00:00:00.000000Z,30890,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-03,2022-07-03T00:00:00.000000Z,29417,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-04,2022-07-04T00:00:00.000000Z,45936,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-05,2022-07-05T00:00:00.000000Z,43716,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-06,2022-07-06T00:00:00.000000Z,42190,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-07,2022-07-07T00:00:00.000000Z,39860,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-08,2022-07-08T00:00:00.000000Z,32546,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-09,2022-07-09T00:00:00.000000Z,23475,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-10,2022-07-10T00:00:00.000000Z,27014,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-11,2022-07-11T00:00:00.000000Z,44468,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-12,2022-07-12T00:00:00.000000Z,42836,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-13,2022-07-13T00:00:00.000000Z,42031,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-14,2022-07-14T00:00:00.000000Z,39911,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-15,2022-07-15T00:00:00.000000Z,37525,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-16,2022-07-16T00:00:00.000000Z,29773,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-17,2022-07-17T00:00:00.000000Z,28705,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-18,2022-07-18T00:00:00.000000Z,44806,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-19,2022-07-19T00:00:00.000000Z,43187,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-20,2022-07-20T00:00:00.000000Z,42327,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-21,2022-07-21T00:00:00.000000Z,40235,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-22,2022-07-22T00:00:00.000000Z,37525,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-23,2022-07-23T00:00:00.000000Z,30499,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-24,2022-07-24T00:00:00.000000Z,29123,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-25,2022-07-25T00:00:00.000000Z,44517,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-26,2022-07-26T00:00:00.000000Z,42427,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-27,2022-07-27T00:00:00.000000Z,42877,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-28,2022-07-28T00:00:00.000000Z,40773,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-29,2022-07-29T00:00:00.000000Z,35998,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-30,2022-07-30T00:00:00.000000Z,27074,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-07-31,2022-07-31T00:00:00.000000Z,30150,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-01,2022-08-01T00:00:00.000000Z,46988,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-02,2022-08-02T00:00:00.000000Z,44827,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-03,2022-08-03T00:00:00.000000Z,43939,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-04,2022-08-04T00:00:00.000000Z,41600,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-05,2022-08-05T00:00:00.000000Z,38439,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-06,2022-08-06T00:00:00.000000Z,32008,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-07,2022-08-07T00:00:00.000000Z,31255,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-08,2022-08-08T00:00:00.000000Z,47853,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-09,2022-08-09T00:00:00.000000Z,44097,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-10,2022-08-10T00:00:00.000000Z,43453,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-11,2022-08-11T00:00:00.000000Z,42150,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-12,2022-08-12T00:00:00.000000Z,39116,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-13,2022-08-13T00:00:00.000000Z,31819,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-14,2022-08-14T00:00:00.000000Z,30822,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-15,2022-08-15T00:00:00.000000Z,46361,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-08-16,2022-08-16T00:00:00.000000Z,39978,0,,,,,,train,2024-10-24T04:14:51.465237Z
